City Name,Latino %,White %,Black %,Asian %,Native %,PI %,Other %,Multiracial %,Total Population,Median Household Income
Agoura Hills,11.42420809,72.63411991,1.231587763,8.57185083,0.113306074,0.029558106,0.640425637,5.354943593,20299,126956
Alhambra,36.09354636,8.377178163,1.623063185,51.34913356,0.165323165,0.08447169,0.369261959,1.938021914,82868,66593
Arcadia,13.05728551,17.58613998,1.531377357,64.58601648,0.09350576,0.070570385,0.421658051,2.653446481,56681,95736
Artesia,35.52912473,15.90728881,3.824336688,41.79322964,0.158584934,0.353766392,0.396462336,2.037206465,16395,74375
Avalon,55.0,39.47976879,0.838150289,0.838150289,0.115606936,0.260115607,0.317919075,3.150289017,3460,78529
Azusa,64.04,15.502,3.178,14.374,0.226,0.13,0.468,2.082,50000,65912
Baldwin Park,74.37790955,3.312735535,0.843770783,20.21447573,0.127466194,0.060962093,0.36854356,0.694136555,72176,68741
Bell,93.54271581,4.422062636,0.369498495,0.706218898,0.10429393,0.044697399,0.300962484,0.509550344,33559,47740
Bellflower,57.14105316,13.6570274,12.79328198,12.44475313,0.231089784,0.670539209,0.474807425,2.58744791,79190,63848
Bell Gardens,96.18490671,1.873370294,0.556947925,0.506316296,0.248094985,0.048100048,0.268347637,0.313916103,39501,45289
Beverly Hills,6.782667197,76.12611235,2.024402923,8.761199963,0.039754136,0.033638115,0.79814073,5.434084585,32701,101241
Bradbury,19.97828447,36.37350706,1.845819761,38.00217155,0.108577633,0.0,0.434310532,3.25732899,921,181875
Burbank,24.18644084,56.22478735,2.693386251,11.44246625,0.206825233,0.091301229,0.575756729,4.57903612,107337,79212
Calabasas,8.407555613,73.89957403,2.215911536,9.397186007,0.133384966,0.05163289,0.731465944,5.163289015,23241,136138
Carson,39.39282949,6.874359028,22.25245401,26.17363277,0.193599699,1.658678499,0.506498671,2.947947843,95558,86040
Cerritos,14.30473194,12.78793013,6.36370971,62.14449958,0.123038444,0.385251523,0.484085683,3.406752995,49578,109229
Claremont,25.26699941,47.30317179,4.784522084,15.58793538,0.241507004,0.131487146,0.729887833,5.954489347,37266,101080
Commerce,94.44175149,2.367102925,0.710938762,1.31685248,0.306996284,0.024236549,0.355469381,0.476652125,12378,54639
Compton,70.80739503,0.894088155,25.42510967,0.381240861,0.137873407,0.568205557,0.459578024,1.326509296,95740,58703
Covina,58.72669111,19.60482172,3.409534212,14.76749629,0.304283374,0.169696497,0.522743232,2.494733557,51268,77913
Cudahy,95.88356495,1.757923809,0.732102933,0.688264434,0.162202446,0.113980097,0.280566393,0.381394941,22811,46279
Culver City,21.41298217,45.47438633,7.707398416,16.75372128,0.115255401,0.225606317,0.929399936,7.381250153,40779,97540
Diamond Bar,19.61613887,14.73888727,3.117736781,59.24244625,0.101685067,0.143448576,0.325029053,2.714628123,55072,100723
Downey,75.08722837,12.57312754,3.436666521,6.393249093,0.219491933,0.217742993,0.604258668,1.468234883,114355,75974
Duarte,48.03240208,22.5157638,5.18249183,20.74377503,0.271551526,0.069038523,0.464859392,2.720117826,21727,82620
