,states,states_code,id,year,population
468,Alabama,AL,1,2019,4903185
469,Alaska,AK,2,2019,731545
470,Arizona,AZ,4,2019,7278717
471,Arkansas,AR,5,2019,3017804
472,California,CA,6,2019,39512223
473,Colorado,CO,8,2019,5758736
474,Connecticut,CT,9,2019,3565287
475,Delaware,DE,10,2019,973764
476,District of Columbia,DC,11,2019,705749
477,Florida,FL,12,2019,21477737
478,Georgia,GA,13,2019,10617423
479,Hawaii,HI,15,2019,1415872
480,Idaho,ID,16,2019,1787065
481,Illinois,IL,17,2019,12671821
482,Indiana,IN,18,2019,6732219
483,Iowa,IA,19,2019,3155070
484,Kansas,KS,20,2019,2913314
485,Kentucky,KY,21,2019,4467673
486,Louisiana,LA,22,2019,4648794
487,Maine,ME,23,2019,1344212
488,Maryland,MD,24,2019,6045680
489,Massachusetts,MA,25,2019,6892503
490,Michigan,MI,26,2019,9986857
491,Minnesota,MN,27,2019,5639632
492,Mississippi,MS,28,2019,2976149
493,Missouri,MO,29,2019,6137428
494,Montana,MT,30,2019,1068778
495,Nebraska,NE,31,2019,1934408
496,Nevada,NV,32,2019,3080156
497,New Hampshire,NH,33,2019,1359711
498,New Jersey,NJ,34,2019,8882190
499,New Mexico,NM,35,2019,2096829
500,New York,NY,36,2019,19453561
501,North Carolina,NC,37,2019,10488084
502,North Dakota,ND,38,2019,762062
503,Ohio,OH,39,2019,11689100
504,Oklahoma,OK,40,2019,3956971
505,Oregon,OR,41,2019,4217737
506,Pennsylvania,PA,42,2019,12801989
507,Rhode Island,RI,44,2019,1059361
508,South Carolina,SC,45,2019,5148714
509,South Dakota,SD,46,2019,884659
510,Tennessee,TN,47,2019,6829174
511,Texas,TX,48,2019,28995881
512,Utah,UT,49,2019,3205958
513,Vermont,VT,50,2019,623989
514,Virginia,VA,51,2019,8535519
515,Washington,WA,53,2019,7614893
516,West Virginia,WV,54,2019,1792147
517,Wisconsin,WI,55,2019,5822434
518,Wyoming,WY,56,2019,578759
519,Puerto Rico,PR,72,2019,3193694
