City,Total Housing Stock,% of Homes that are Vacant,% of Rentals Vacant,% of Occupied Housing Units Owned,Median Owned Home Value,% of Occupied Homes worth over $1 Million,Median Monthly Rent,% of Renters Cost-Burdened,% of Homes Cost Burdened,% of Homes built since 2010,% of Occupied Units Overcrowded,% of Units that are Short-Term Rentals
Agoura Hills ,7486,5.450173657,16.9,80,1072200,57.8,3094,51.9,31.94405199,2,1.5,0
Alhambra ,32130,6.342981637,2.8,42,812700,21.3,1852,53.6,42.75554965,3,7.8,1.1
Arcadia ,20948,7.910063013,6.2,58.5,1336500,72.6,2118,56,42.44466331,6.7,3.4,0.8
Artesia ,4657,5.969508267,7.6,53.6,763700,19.2,2276,52.3,42.90934003,2.6,14,0
Avalon ,1854,35.27508091,2,34.2,902800,38,2087,54.4,57.58333333,0,24.6,27.3
Azusa ,15288,4.25170068,2.8,55.4,607400,8.6,1831,51.9,41.42642437,8.9,12.7,0.9
Baldwin Park ,18523,1.943529666,1.2,58.5,588100,1.5,1817,57.6,42.37185487,2.4,19.9,0.3
Bell ,9088,2.904929577,0.6,26.7,561400,3.3,1538,62.4,54.98640073,1.6,27,0.3
Bellflower ,24499,3.387893383,0.8,38.1,661100,6,1771,58.5,46.20812033,2.7,17.1,0.3
Bell Gardens ,9957,2.099025811,0.4,21.2,527900,2.8,1658,60.4,53.34427575,4.6,26.2,0
Beverly Hills ,16545,13.79268661,4.6,42,2000000,87.7,2805,54.3,46.96066746,2.8,2.9,2.1
Bradbury ,355,15.21126761,28.6,93.4,1914100,83.3,3500,45.5,53.15614618,8.2,1.7,0.6
Burbank ,46301,6.986890132,4.6,42.8,1041100,55.2,2089,58.1,45.64389542,2.7,6.6,0.4
Calabasas ,9255,4.927066451,1.1,69.3,1453900,73.1,3070,71.2,46.07341743,3.7,1,1.4
Carson ,27713,4.716198174,2.1,74,645600,2.6,1914,52.4,33.39392562,3.3,9.4,1.4
Cerritos ,16054,1.812632366,2.6,74.6,908600,33,2909,40.2,27.55186196,3.4,4.6,0.4
Claremont ,12785,4.692999609,4,65.5,870800,29,2125,57.1,37.35740665,5.4,1.3,1.2
Commerce ,3484,0.918484501,0,53.7,583200,0.3,1420,57.5,41.71494786,0,20.9,0
Compton ,25154,3.685298561,2.4,57.4,546700,1.6,1601,58.5,47.10034259,2.7,23.6,0
Covina ,17112,4.178354371,1.5,57.3,666000,4.6,1839,52.6,38.36067573,2.7,8.4,0
Cudahy ,5960,2.651006711,0.9,11.8,505300,1.6,1667,64.5,56.87693899,2,21.9,0.2
Culver City ,19104,7.139865997,7.1,55.1,1126900,60,2683,51.5,38.51747463,3.9,3.5,0.6
Diamond Bar ,19000,4.010526316,1.3,77.4,867000,30.5,2422,66.5,38.46364733,1.4,3.8,0.4
Downey ,35870,3.18650683,1.9,50.7,728500,12.7,1892,58.6,44.84982866,1.9,12,0.4
Duarte ,7624,3.803777545,3.4,62.8,710700,5.9,1991,55.2,40.00545405,2.8,7.1,0.1
El Monte ,30575,3.385118561,1.8,40,626000,4.9,1677,59.5,48.25321598,4.9,20.5,0.2
El Segundo ,7677,7.190308714,5.4,42.6,1521600,80.3,2547,36.2,33.09473684,2.6,2.3,1.1
Gardena ,22044,5.221375431,3.5,48.9,667600,6.6,1761,55,42.27253147,5.1,11.2,1
Glendale ,78451,6.72011829,3.2,35.3,1043900,53.9,2095,63.5,51.9356646,6.2,7.3,0.5
Glendora ,17254,3.773038136,2.9,67.8,820800,24.2,2218,53.3,37.60766127,5.3,4.7,0.3
Hawaiian Gardens ,4046,4.473554128,0,45.8,509600,1.3,1696,55.9,42.01811125,3.5,25.5,0
Hawthorne ,31056,3.886527563,3,27.5,813700,26.2,1723,58.2,51.93138799,4.6,16.5,0.2
Hermosa Beach ,10454,14.65467764,5.7,50.7,2000000,87.7,2812,42.2,34.58865725,4.4,2.5,6.1
Hidden Hills ,685,4.96350365,0,88.2,2000000,97.4,3500,0,31.33640553,5.5,0,0
Huntington Park ,15165,3.132212331,1.4,24.5,557600,3.3,1440,56.7,50.81007488,0.7,29.5,0
Industry ,38,10.52631579,0,11.8,,0,1250,30,26.47058824,10.5,32.4,0
Inglewood ,38744,7.136588891,2.5,35.3,744300,13.8,1725,60.6,51.24656049,2.2,13.1,0.3
Irwindale ,431,1.856148492,0,82,645800,2,2083,54.7,22.93144208,5.3,5.9,0
La Cañada Flintridge ,7059,9.293101006,3.3,88.5,2000000,92.4,2842,51.1,33.40621584,3.4,1,2.6
La Habra Heights ,2077,5.05536832,0,91.2,1114100,61.9,1186,23,25.96348884,2.6,2.1,0
Lakewood ,26709,2.21273728,1.2,72,774100,6.8,2324,55.5,34.80741251,1.7,6.2,0
La Mirada ,15341,2.209764683,2.4,76.3,763200,12.3,2052,60.6,38.56152513,1.1,7.1,0.1
Lancaster ,55045,5.199382324,4.3,58.4,409100,2,1696,59.6,42.44485752,4.4,5.5,0.6
La Puente ,9589,2.659297111,1.2,60.7,593200,1.2,1788,53.7,38.34368974,0.9,18.7,0
La Verne ,12036,4.204054503,2.4,67.1,793900,21.5,2204,54.6,37.46747615,5.3,3.1,0.2
Lawndale ,10348,4.532276768,2.1,37.8,726000,8.6,1847,56.7,45.44994433,1.4,15.4,1.2
Lomita ,7853,4.418693493,1.7,46.1,792100,19.1,1918,50.2,39.14201972,3.3,6.6,1.7
Long Beach ,181469,5.598752404,4,40.9,762200,22.5,1803,55.9,44.97603745,2.4,10.1,0.7
Los Angeles ,1537034,7.636200631,4.6,36.3,879500,39.2,1879,58.8,49.61156274,6.9,12.5,0.9
Lynwood ,15577,2.356037748,1.9,49,569400,1.3,1625,62.2,49.84220907,0.9,28.6,0.3
Malibu ,6430,32.41057543,14.8,73.8,2000000,88.3,3500,55.9,46.96272434,6.1,1.7,14.4
Manhattan Beach ,14945,10.85312814,7.8,66.1,2000000,94.1,3492,37.2,32.05734444,6.4,0.8,3.2
Maywood ,6465,1.701469451,0.4,29.9,595000,3.6,1467,54.5,47.93076318,0.9,30.2,0.2
Monrovia ,14796,5.251419303,2.5,47.9,891700,34.1,2009,51.4,42.27120337,4.4,6.6,0.6
Montebello ,20347,3.518946282,1.3,46,660700,6.1,1771,62.1,44.83215323,2.3,11.5,0
Monterey Park ,22081,6.086680857,1.5,51.9,818300,23.2,1845,60.5,41.17278295,2.9,9.4,1
Norwalk ,27346,1.992978863,1.6,68.1,616600,1.7,2014,57.9,37.92022686,2.2,15,0.2
Palmdale ,48505,4.129471189,5.1,66.2,435300,1.4,1736,63.2,44.30132037,3.6,8,0.3
Palos Verdes Estates ,5383,6.520527587,0,90.2,2000000,92.8,3331,67.3,36.645469,1.8,1.1,4.1
Paramount ,14585,1.624957148,1.4,43.4,500400,1.4,1772,59.6,46.18762197,3.9,21.7,0.1
Pasadena ,62853,9.10378184,3,42.1,1045000,53.9,2218,50.7,42.55833085,5.3,4.3,1
Pico Rivera ,17281,2.76025693,2.8,70.1,621400,3.1,1775,64.6,38.73482504,0.9,15.7,0.2
Pomona ,43767,4.432563347,1.8,54.6,569600,2.5,1738,57.7,40.62686781,5.7,14.7,0.6
Rancho Palos Verdes ,16612,8.024319769,5.6,80.5,1541400,83.9,3500,52.2,34.74049349,2.5,1.9,4
Redondo Beach ,30837,7.426143918,4,53.4,1225400,71.5,2562,47.2,36.41363366,4.1,2.3,3.8
Rolling Hills ,674,13.50148368,0,92.3,2000000,90.7,3500,13.9,28.98799314,3,0,3.6
Rolling Hills Estates ,3034,9.887936717,3.5,89.8,1602300,91.8,3500,52.1,36.10095099,4.8,2.1,3.5
Rosemead ,15220,6.222076216,3.6,48.2,729600,13.5,1728,60.4,42.55587473,2.1,14.2,0.9
San Dimas ,12421,1.489413091,1.7,71.4,756200,18.6,2232,61.8,38.05165087,3.6,3.8,0
San Fernando ,6611,5.642111632,2.9,62.5,630700,5.4,1690,67.6,45.0945816,2.1,16.6,0
San Gabriel ,13726,8.101413376,4.2,48.7,899000,36.5,1874,52.5,39.10734105,2.2,10.6,0.8
San Marino ,4363,12.7435251,5.1,82.7,2000000,95.2,3500,39.8,37.56238508,2.2,3.8,1.9
Santa Clarita ,77808,3.247738022,3.4,72,721000,12.7,2486,61.1,40.39797558,9.2,5.5,0.2
Santa Fe Springs ,6159,4.59490177,7,61,624700,1.7,1965,61.1,42.56296801,14,8.5,0.4
Santa Monica ,52381,11.30944426,8.2,28.8,1810200,84.6,2338,46.5,41.58469122,6.1,2.6,1.5
Sierra Madre ,5113,7.862311754,0,57,1172200,69.6,2086,44.9,33.85693059,3.4,0.2,0
Signal Hill ,5037,7.166964463,9.3,51.7,725500,27,1817,37.4,36.35585971,4.6,5.3,0
South El Monte ,5198,2.847248942,0,49.5,578100,2.6,1708,68.1,47.96039604,4.7,21.2,0.7
South Gate ,25430,2.375147464,1.7,44.4,608500,3.4,1471,54.7,44.15532103,2.7,20.8,0
South Pasadena ,11040,5.679347826,2.6,44,1545100,79,2218,41.7,35.3596466,1.3,5.7,0
Temple City ,12005,4.598084132,2.4,63,930200,39.1,2034,53.1,37.30900201,8,6.8,1.6
Torrance ,59411,6.890979785,3.4,54.6,1036600,54.6,2214,50.7,38.49811089,1.2,6.3,2.3
Vernon ,106,5.660377358,0,7,675000,28.6,1325,29.7,29,63.2,20,3.8
Walnut ,9034,5.53464689,1.2,82.7,972500,45.8,3120,60.9,36.71197563,2.8,3,1.5
West Covina ,33810,3.620230701,3.8,60.8,712300,9.5,2153,55.5,39.40956239,3.4,8.6,0.2
West Hollywood ,25315,11.20284416,6.6,20.5,969900,46.8,2103,46.8,43.5740024,5,2.6,1.1
Westlake Village ,3190,4.137931034,1.1,81.9,1212800,65.8,3500,37.1,31.78548071,0.2,0.7,1.8
Whittier ,29185,5.132773685,5.2,58.5,751700,16.9,1829,58,42.13890996,2.1,8,0.6
Aliso Viejo ,20370,4.658811978,5.3,56.6,863800,33.8,2774,56.8,39.94644972,8.8,4.5,0.6
Anaheim ,110278,4.043417545,4.3,45.9,771700,17.8,2082,60.6,45.95961028,7.8,16.2,0.3
Brea ,17205,3.714036617,3.5,60.3,874300,29.8,2285,53.5,36.40589159,14.5,4.8,0.5
Buena Park ,24961,3.052762309,0.9,56.1,771900,12.2,2112,50.4,35.40228935,4.1,13.9,0.3
Costa Mesa ,43684,4.706528706,3.6,39.4,1054700,56.1,2395,52.6,42.4570001,6.9,7.9,0.4
Cypress ,16514,3.185176214,1.7,67.2,870100,30.2,2454,59,35.76432324,3.4,5.6,0.5
Dana Point ,16802,16.9622664,4.5,62.7,1200900,73,2883,54.5,40.48881881,3.9,1.3,10.9
Fountain Valley ,19250,2.12987013,1.8,66.1,1018600,52.8,2507,70.7,38.52972399,1.5,4.5,0.4
Fullerton ,49707,4.472207134,4.9,51.5,859600,32.2,2124,62.3,43.23982815,3,11.4,0.6
Garden Grove ,50401,3.474137418,3.9,53.6,765500,10.7,1971,59.7,44.11510791,3,15,0.3
Huntington Beach ,81812,5.210727033,3.3,55.8,1047300,55.2,2424,51.3,38.5472411,5.6,3.5,1.8
Irvine ,120368,6.969460322,4.8,43.8,1115400,61.6,2893,52.1,39.90123148,31.7,6.3,0.9
Laguna Beach ,13558,20.12096179,6.9,64.3,2000000,86.9,2802,59.3,46.44506002,3.6,1.2,12.8
Laguna Hills ,12261,6.288230976,9.5,71.4,944000,45,2622,63.4,38.85987815,4.3,2.6,1.2
Laguna Niguel ,27527,7.414538453,5.9,66.5,1123000,62.8,2819,59.6,39.7551597,6.9,3.4,1.9
Laguna Woods ,13494,12.57595969,3.6,71.4,364900,3.9,2232,74.3,46.68135967,0.3,0.1,6.2
La Habra ,21100,2.900473934,3.1,58.3,716700,14,2039,50.7,42.02948067,3.8,10.6,0.4
Lake Forest ,31739,4.703991934,5.1,70.7,876300,35.7,2616,60.5,37.95543212,12.1,5.4,0.7
La Palma ,5208,1.88172043,4.2,68.6,916600,34.6,2239,67.1,39.90215264,0.9,3.7,0
Los Alamitos ,4447,4.272543288,0.9,41,1003900,50.5,2273,59.2,42.96452901,4.8,6.7,0.4
Mission Viejo ,34360,4.199650757,6.9,77.5,946300,42,2713,57.5,35.23407358,2.9,2.7,1.1
Newport Beach ,45243,15.78144685,12.5,53.1,2000000,85.9,3146,50.2,40.36690024,7.4,1.9,5.4
Orange ,46547,3.609255161,3.7,58.1,900700,34.5,2252,53,38.76122763,5.1,7.3,0.2
Placentia ,17545,3.225990311,3.4,63.3,871000,28.4,2267,59.1,41.60433477,4.7,6.3,0.4
Rancho Santa Margarita ,17424,2.192378329,4.3,73.4,907900,39.5,2481,59.4,35.1953996,1.8,3.8,0.5
San Clemente ,26650,9.594746717,2.1,64.3,1220500,70.9,2398,53.6,38.21856971,4.3,2.8,5.8
San Juan Capistrano ,12801,5.515194125,3.3,78.5,929700,44.1,2500,48.4,32.82348078,6.3,7.8,2.1
Santa Ana ,82352,3.231251214,2.9,44.6,657800,8,1975,54.4,42.38621676,4.9,26.1,0.3
Seal Beach ,14616,11.41215107,4.5,75.9,492200,38,2419,53.9,30.16682113,2.4,1,5
Stanton ,12992,4.410406404,4.1,51.1,541000,4.4,1905,59.5,41.88743055,4.3,17.4,0.4
Tustin ,27746,3.777121026,3.7,50.9,890600,37.3,2340,60.2,42.3664694,10,12,0.1
Villa Park ,1952,2.920081967,0,88.2,1686200,89.2,,79.3,34.40633245,0.7,2.7,0.5
Westminster ,29104,4.257146784,3,52.2,820000,22,2100,64.6,45.4548717,3.3,11.6,0.6
Yorba Linda ,24063,4.932884511,5.1,82.5,1091700,60,2779,51.5,34.22801189,7.7,1.6,1.2
Banning ,12402,7.321399774,6.4,71.5,322900,0.3,1528,65.4,39.22916304,4.6,6.2,0.9
Beaumont ,17403,1.942193875,0.8,80.1,464000,0.3,1505,57.7,34.84324641,31.6,5.9,0.5
Blythe ,5144,16.21306376,1.5,59.7,203800,0.8,900,51.2,33.7587007,2.6,8.5,8.1
Calimesa ,4156,6.713185756,29.6,92.2,423300,0.9,1852,48,32.29301006,26.9,1,1.6
Canyon Lake ,4434,7.758231845,0,79,647300,11,2524,52.6,33.93643032,3.9,0.9,4.9
Cathedral City ,23114,17.11949468,4.4,65.3,420700,3.4,1554,65.1,44.99138696,5.4,6.7,13
Coachella ,12543,1.5227617,0.6,65.9,341300,0.2,1115,53.1,38.36625648,7.8,10.2,1
Corona ,49869,3.581383224,4.3,63.4,656500,6.7,2136,59,40.49040201,6.9,7.4,0.7
Desert Hot Springs ,12786,10.58970749,3.5,49.9,309300,3.2,1339,67.6,51.20713786,5.3,8.1,6.4
Eastvale ,18190,2.012094557,0,80.2,752000,5.7,3065,46.2,33.17437163,28,3.6,0.5
Hemet ,34908,8.038272029,4.7,63.1,314200,0.5,1432,62.8,46.05320541,4.5,8.7,1.5
Indian Wells ,5025,51.10447761,13.1,77.3,1002200,50.1,1029,77.6,33.53683354,7.5,0.3,47.6
Indio ,36815,15.72185251,9.6,68.3,424700,2.4,1392,56.5,38.118413,14.3,7.1,10.4
Jurupa Valley ,28415,4.515220834,3.2,70.2,538700,1.9,1690,57,36.61727849,11.5,14,0.3
Lake Elsinore ,21554,5.279762457,5.1,71.6,505700,0.7,1915,58.6,40.80133229,27.5,8.3,1
La Quinta ,24669,36.22360047,19.8,74.8,612800,18.1,1747,52.2,36.73806648,9.7,4.1,28.3
Menifee ,37247,5.941418101,3.6,80.3,487200,1.1,2052,65.6,40.64052064,20.7,4,1
Moreno Valley ,56654,3.258375402,2.7,62.8,461400,1.2,2036,62.9,44.23624288,5.2,11.8,0.6
Murrieta ,37306,4.969709966,2.8,69.3,606900,4.4,2330,57,38.88074016,9.2,3.5,1.6
Norco ,7046,3.831961397,0,81.8,731900,13.4,1893,48.1,32.88075561,1.8,4.4,0.5
Palm Desert ,36584,34.00120271,8.2,64.4,491600,9.5,1717,60.4,42.14123007,4.9,2.5,28.1
Palm Springs ,36959,34.25958495,7.2,65,567300,21.6,1473,62.6,43.23167469,5,2.7,27.6
Perris ,20083,3.470597022,3.9,68.7,431900,1.2,1791,59.2,37.57350665,12.8,20,0.6
Rancho Mirage ,14936,41.84520621,9.6,82.1,747800,24.5,1575,67.1,35.35574488,7.9,1.2,36.6
Riverside ,97105,4.878224602,4.2,56.3,542100,4.5,1812,57.3,40.23687857,5.3,9.5,0.7
San Jacinto ,15826,5.75635031,3,73,391600,1.4,1633,64.4,40.57660074,11.2,8.9,1.9
Temecula ,36866,3.914175663,5.7,67.7,640400,5,2297,55.5,37.49823561,11.8,4.5,0.4
Wildomar ,11112,4.409647228,6.9,75.2,511900,2.7,1910,55.2,39.27697232,8.5,6.9,1.2
Adelanto ,9756,5.781057811,1.3,60.6,318300,1.5,1389,55.2,39.20800696,7.5,13.9,1.4
Barstow ,10094,9.153952843,4.6,45.7,222600,1.1,1065,53.8,38.10250818,3.1,7.2,0.5
Big Bear Lake ,9602,76.72359925,5.5,67.2,517900,7.9,1278,65.5,38.07606264,1.3,4.6,73.4
Chino ,28104,4.405066894,4.8,62.9,641500,4.4,2208,58.3,40.62011464,20.4,6.6,0.3
Chino Hills ,26219,2.799496548,1.7,70.6,830000,25.6,2750,63.7,36.97076712,9.9,3.2,0.9
Colton ,18131,5.184490651,3.4,52.3,411100,2,1608,58.9,44.22663021,3.6,11.3,0
Fontana ,58265,1.980605853,2,67.2,558500,1.6,1733,52.1,37.94015163,10.3,12.8,0
Grand Terrace ,4883,6.962932623,7.7,61,465800,0.4,1782,55.9,35.70327977,4.5,6.9,0.2
Hesperia ,30495,4.197409411,1.9,65.8,366800,1.4,1566,59.5,41.84494267,6.3,7.6,1
Highland ,16924,3.090285984,2.1,65.9,455200,1.4,1539,64.7,40.02194988,2.2,10.6,0.1
Loma Linda ,10233,9.742988371,7.9,40,557800,1,1759,57.8,41.86877436,9.3,5.3,0
Montclair ,10661,2.720195104,3.9,53.9,549600,1.2,1759,63.2,43.28415775,7,12.9,0.1
Needles ,2848,25.1755618,1.7,54.8,134400,0.6,742,56.9,38.761145,2.2,3.3,14.4
Ontario ,54951,4.161889684,2.7,57.3,568000,1.8,1916,61.3,45.06304117,12.7,12.5,0.2
Rancho Cucamonga ,59894,3.254082212,3.4,63.3,694400,16.8,2286,57.3,40.49357149,6.2,5.3,0.2
Redlands ,26614,4.56150898,2.9,57.4,583000,10,1883,50.3,34.33858268,3.8,5.1,0.4
Rialto ,27910,3.776424221,1.5,64.5,454400,1.1,1641,58.1,39.64477212,3.5,15.4,0.1
San Bernardino ,66147,4.556518058,2,48.5,384900,0.8,1433,63.2,46.62379421,2.7,14.5,0.2
Twentynine Palms ,10992,11.51746725,6.7,37.4,238400,3.3,1271,49.9,38.28912194,10.5,3.6,4
Upland ,28180,3.53087296,2.6,56.9,688800,10.6,1976,55.5,37.99889645,6.3,6.7,0.2
Victorville ,39249,4.507121201,4.3,58.5,342500,0.3,1568,60.8,43.26040555,8.9,9.1,0.2
Yucaipa ,18933,4.896212961,1.8,72,466000,4.2,1661,52.7,34.01088526,4,3.9,0.6
